customer_id,first_name,last_name,date_of_birth,gender,city,state,pincode,email,phone,premium_tier,join_date
C0065,Jagat,Ben,2019-04-16,F,Morena,Mizoram,522149,ekantikabanerjee@example.net,00345816750,Bronze,2021-05-23
C0066,Odika,Krishnamurthy,2011-01-01,F,Kolkata,Mizoram,276220,amanda@example.org,9539657561,Bronze,2024-12-29
C0067,Devika,Tara,1924-11-08,F,Chandrapur,Odisha,414057,faqid15@example.net,+910245181681,Bronze,2025-01-04
C0068,Krishna,Basak,1995-12-02,F,Kadapa,Gujarat,747772,fitan68@example.org,5999629024,Bronze,2025-02-08
C0069,Jagvi,Sen,1967-07-22,F,Aurangabad,Sikkim,380515,yoshita25@example.com,+917751879650,Gold,2026-04-24
C0070,Neha,Seth,1968-03-18,M,Tenali,Andhra Pradesh,622924,banjeetkeer@example.com,0656045324,Silver,2024-03-23
C0071,Robert,Sridhar,2017-12-30,F,Phagwara,Arunachal Pradesh,974912,turvioak@example.net,09812348621,Gold,2022-03-06
C0072,Gopal,Kurian,1934-11-23,M,Ambala,Uttarakhand,395098,dev58@example.org,5608088061,Gold,2023-09-04
C0073,Atharv,Chhabra,1915-10-27,F,Srikakulam,Mizoram,211425,nitesh98@example.org,06368378315,Silver,2025-11-05
C0074,Andrew,Arora,1964-07-12,M,Jalgaon,Chhattisgarh,300888,jyoticherian@example.org,+917729021199,Bronze,2022-07-20
C0075,Rayaan,Arora,1910-07-04,M,Udaipur,Uttarakhand,277573,aarnavsachar@example.org,04521520446,Bronze,2026-01-16
C0076,Tristan,Sarin,1918-08-14,M,Kolkata,Punjab,807895,keerarin@example.com,+916641471239,Bronze,2021-06-09
C0077,Ranveer,Thaker,1958-11-30,F,Davanagere,Karnataka,446056,chaayaborde@example.com,+919455208467,Silver,2025-12-26
C0078,Pratyush,Vala,1975-04-24,M,Hospet,Jharkhand,294897,atwaldhriti@example.com,0970967686,Bronze,2025-02-28
C0079,Aradhana,Ahuja,1949-03-24,F,Gurgaon,West Bengal,543404,laban60@example.net,08160168928,Gold,2023-01-25
C0080,Raksha,Palla,1937-07-06,M,Sambhal,Andhra Pradesh,868848,tejasshukla@example.com,+912129784355,Bronze,2021-05-28
C0081,Aarna,Gokhale,1979-02-04,F,Rajahmundry,Arunachal Pradesh,647128,oni90@example.org,02041754705,Silver,2023-10-01
C0082,Riya,Ram,1932-08-28,M,Bhind,Goa,941524,xbakshi@example.net,+912712911314,Bronze,2022-10-14
C0083,Vincent,Patil,1950-09-05,F,Hosur,Uttar Pradesh,722193,jainlaban@example.com,+913736463370,Bronze,2022-11-30
C0084,Dayamai,Chad,1910-10-31,M,Madhyamgram,Assam,591076,kashyapcharan@example.com,+917228162586,Gold,2023-01-24
C0085,Balhaar,Raja,1939-05-16,F,Bardhaman,Rajasthan,507817,warhi95@example.net,07429523372,Bronze,2021-11-27
C0086,Barkha,Srinivas,1949-05-07,F,Guntakal,Madhya Pradesh,859893,isaiahshetty@example.com,+913844583313,Bronze,2023-06-06
C0087,Hredhaan,Ahluwalia,1927-02-03,M,Alappuzha,Tripura,913442,viswanathanekiya@example.com,8551024510,Gold,2021-11-03
C0088,Falak,Sura,1968-11-24,M,Gurgaon,Andhra Pradesh,142003,shenoywriddhish@example.com,+919699170594,Gold,2026-02-28
C0089,Raksha,Vig,1975-06-08,M,Latur,Haryana,606460,purohitpatrick@example.com,+913062746600,Bronze,2024-07-16
C0090,Netra,Trivedi,1933-10-22,F,Korba,Punjab,737318,nakshdoshi@example.net,9917531633,Silver,2023-10-10
C0091,Falan,Saxena,1959-03-07,M,Gwalior,Manipur,139929,zaitrakhosla@example.net,02174506809,Gold,2025-09-21
C0092,Zayan,Chauhan,1935-08-22,M,Chandigarh,Sikkim,683949,farhan55@example.net,0029760512,Gold,2025-05-08
C0093,Pallavi,Varkey,1920-08-03,F,Nadiad,Telangana,140421,vaidyaaryan@example.net,7284521830,Gold,2023-03-08
C0094,Azaan,Garde,1911-01-28,F,Aligarh,Himachal Pradesh,521560,tamannanatt@example.com,4771918921,Silver,2021-07-05
C0095,Amol,Vala,1967-09-25,M,Ujjain,Uttar Pradesh,305803,neeljhaveri@example.net,05389411243,Silver,2025-05-10
C0096,Mekhala,Aggarwal,2011-04-09,M,Deoghar,Mizoram,939775,nadkarniwridesh@example.com,7066303992,Silver,2021-12-06
C0097,Vihaan,Patel,1936-05-08,M,Hyderabad,Manipur,746671,ychakraborty@example.org,+918018151459,Silver,2021-10-16
C0098,Reva,Gara,2026-01-28,F,Patna,Tamil Nadu,860327,yashica58@example.net,06601102595,Bronze,2025-04-02
C0099,Riya,Kuruvilla,1926-08-26,F,Sri Ganganagar,Sikkim,141605,benjamin82@example.com,8386146987,Bronze,2023-02-17
C0100,Udarsh,Mannan,1923-03-30,F,Guna,Telangana,977900,svarkey@example.org,00314675272,Silver,2023-09-27
C0101,Omaja,Ratti,2014-04-30,M,Sagar,Uttarakhand,972209,badalfalguni@example.org,1174806473,Silver,2025-09-12
C0102,Raagini,Sant,2012-12-18,F,Bhimavaram,Maharashtra,622215,ratticharles@example.com,+910681905615,Gold,2022-11-02
C0103,Ojas,Subramanian,1973-07-26,F,Jorhat,Mizoram,888711,barkhabanerjee@example.org,05773397734,Bronze,2024-10-07
C0104,Barkha,Bal,1924-09-10,F,Parbhani,Rajasthan,531521,jacobsuri@example.com,+915124571776,Gold,2024-01-18
C0105,Ranbir,Pingle,2017-11-06,M,Danapur,Sikkim,066702,omishasodhi@example.org,+918957561380,Bronze,2026-02-01
C0106,Kai,Vyas,2003-03-24,M,Kolhapur,Chhattisgarh,742357,laksh98@example.net,3874681303,Bronze,2023-03-20
C0107,Watika,Rajan,2022-09-14,M,Bathinda,Andhra Pradesh,063092,turvi37@example.com,03226920244,Silver,2026-01-27
C0108,Krish,Kota,1989-09-05,F,Mysore,Madhya Pradesh,068104,bhavya78@example.com,07326060065,Silver,2021-10-13
C0109,Fitan,Bhargava,1990-11-04,F,Anand,Madhya Pradesh,694347,batrakashish@example.com,+916451295019,Silver,2022-08-20
C0110,Bachittar,Loyal,1954-06-22,M,Ozhukarai,Goa,703025,ywalia@example.net,9745026942,Silver,2025-08-09
C0111,Gayathri,Sastry,1999-02-21,F,Mumbai,Madhya Pradesh,860883,saiganesh@example.org,04596394877,Gold,2025-09-15
C0112,Arya,Chauhan,1951-10-11,M,Muzaffarpur,Odisha,119312,urvi16@example.net,6432974010,Bronze,2025-06-12
C0113,Gunbir,Sehgal,1992-07-13,M,Ongole,Himachal Pradesh,102152,imaranchaudhry@example.com,00617747616,Gold,2025-01-19
C0114,Waida,Dua,2022-10-22,M,Khandwa,Telangana,420692,wazirgolla@example.org,05176421054,Bronze,2026-05-19
C0115,Gautam,Loke,2022-01-25,F,New Delhi,Uttarakhand,751251,yashawini94@example.net,09535571997,Gold,2024-03-22
C0116,Dalbir,Mital,2009-05-23,F,Coimbatore,Chhattisgarh,718854,gagarwal@example.com,+915374725745,Gold,2021-07-04
C0117,Sai,Oommen,1994-01-30,M,Khora ,Assam,552980,rsubramanian@example.com,4794814130,Bronze,2025-08-03
C0118,Samar,Toor,1936-01-09,M,Ranchi,Meghalaya,324694,kashish31@example.org,+911713863603,Gold,2026-04-22
C0119,Christopher,Bhargava,1980-05-07,F,Maheshtala,Haryana,413910,netra28@example.net,8971927613,Bronze,2025-03-09
C0120,Krish,Naidu,2021-07-18,M,Kolhapur,Jharkhand,078303,shankaradvaith@example.com,+918290341523,Bronze,2022-04-06
C0121,Avni,Subramanian,1960-10-29,F,Bally,Haryana,905670,trivedijoshua@example.net,5296381783,Bronze,2022-01-24
C0122,Reva,Tailor,1977-09-05,M,Jaipur,Uttarakhand,152576,sara36@example.net,05170465206,Silver,2023-01-17
C0123,Inaya,Krish,1998-04-10,M,Sasaram,Uttar Pradesh,391014,vihaandube@example.org,9293996606,Gold,2023-12-20
C0124,Guneet,Dutt,1930-01-31,M,Saharsa,West Bengal,260624,pkonda@example.com,+918087615831,Silver,2023-10-31
C0125,Gayathri,Sood,1976-05-10,M,Shivpuri,Uttar Pradesh,476764,balhaarkulkarni@example.net,03885884890,Silver,2022-01-12
C0126,Devika,Misra,1945-05-19,F,Unnao,Madhya Pradesh,054728,mohini83@example.org,0988003352,Silver,2023-07-10
C0127,Bhavya,Bandi,1964-05-25,F,Thiruvananthapuram,Manipur,249642,falak21@example.net,5908596437,Silver,2024-04-27
C0128,Ryan,Nayar,1921-10-28,F,Ambattur,Himachal Pradesh,305317,ramanathanubika@example.net,+916538196684,Bronze,2023-09-03
C0129,Tanmayi,Shan,2016-09-09,F,Pali,Odisha,100621,gmahal@example.com,9840111273,Silver,2026-02-14
C0130,Ekaja,Palla,1971-09-24,M,Visakhapatnam,Karnataka,077166,banjeet38@example.org,08269968957,Bronze,2023-09-15
C0131,Caleb,Malhotra,1939-09-01,F,Shimla,Mizoram,021008,sonichampak@example.net,+912444642450,Silver,2022-04-01
C0132,Nilima,Krishnan,1911-02-19,F,Deoghar,Chhattisgarh,218555,tanayupadhyay@example.org,+918378857904,Silver,2025-09-21
C0133,Mitesh,Mander,2009-12-12,M,Patna,Assam,699518,chadayagnesh@example.net,2296122841,Gold,2023-12-07
C0134,Chandani,Yogi,1918-01-31,F,Nandyal,Bihar,567419,dyalpeter@example.org,1166571904,Bronze,2023-09-05
C0135,Lavanya,Das,1943-07-04,F,Surendranagar Dudhrej,West Bengal,373263,parmarryan@example.org,+913658357118,Bronze,2025-09-18
C0136,Arya,Hans,1929-01-27,M,Sikar,Andhra Pradesh,116591,masteroscar@example.com,+919015656977,Gold,2021-10-16
C0137,Jeet,Sangha,1977-01-19,M,Thrissur,Telangana,073832,samuel64@example.net,+917842114762,Gold,2025-12-18
C0138,Warda,Srinivas,1966-01-26,F,Kozhikode,Kerala,776162,sudikshatailor@example.org,06569985834,Gold,2025-12-27
C0139,Vrishti,Sami,1997-03-04,M,Guna,Haryana,449850,nirja11@example.com,09519428031,Bronze,2023-08-20
C0140,Bhanumati,Seth,2014-11-08,F,Bihar Sharif,Gujarat,030190,lbiswas@example.com,4311190784,Bronze,2022-08-04
C0141,Suhani,Kaur,2001-10-05,M,Aurangabad,Mizoram,138593,cganesan@example.net,1270879384,Bronze,2021-08-27
C0142,Mohini,Samra,1952-06-19,M,Dewas,Rajasthan,278082,balhaar36@example.org,+919954543480,Bronze,2024-07-22
C0143,William,Banerjee,1954-11-08,M,Vijayanagaram,Chhattisgarh,647963,modinikita@example.org,+915208730083,Gold,2024-09-08
C0144,Gabriel,Pal,1995-02-23,F,Lucknow,Nagaland,487326,lwable@example.net,1922562488,Gold,2025-11-29
C0145,Vansha,Behl,1944-05-03,F,Ambarnath,Goa,296792,shettywaida@example.com,+912686295486,Silver,2022-03-17
C0146,Nidra,Bava,1924-09-23,F,Kharagpur,Uttar Pradesh,753963,osharaf@example.com,06649987006,Gold,2025-12-21
C0147,Qushi,Tank,1942-12-02,M,Bhavnagar,Uttarakhand,014786,upadhyaychavvi@example.net,+918038595900,Bronze,2023-07-03
C0148,Omisha,Halder,1937-05-01,F,Dibrugarh,Madhya Pradesh,266884,horaabhimanyu@example.net,05464625510,Silver,2026-03-21
C0149,Karan,Dugar,1912-02-29,M,Cuttack,Jharkhand,318136,vasana25@example.org,04258862784,Silver,2025-05-19
C0150,Ganga,Iyer,1966-08-28,M,Anand,Goa,802930,mannavni@example.net,2987492171,Silver,2026-04-13
C0151,Bina,Muni,2013-01-16,F,Guntur,Gujarat,501032,smishra@example.net,00783892499,Silver,2021-06-17
C0152,Leena,Jayaraman,2006-08-07,F,South Dumdum,Nagaland,268580,george75@example.net,06968607661,Bronze,2022-07-27
C0153,Yash,Prashad,1930-05-06,F,Moradabad,Maharashtra,885595,nakulanand@example.com,+913198099950,Bronze,2022-05-03
C0154,Falan,Kurian,2000-04-04,M,Serampore,Jharkhand,884487,olanka@example.com,03888155276,Silver,2023-12-24
C0155,Yagnesh,Bhat,1938-02-21,M,Jaunpur,Telangana,155394,yswaminathan@example.org,2464865916,Bronze,2022-08-16
C0156,Urvashi,Saxena,1950-10-27,M,Tiruvottiyur,Arunachal Pradesh,717027,qsrinivas@example.net,3427799272,Bronze,2024-10-26
C0157,Yamini,Dave,1962-11-09,F,Ballia,Haryana,765388,onveernarayanan@example.com,+910859228383,Silver,2023-12-11
C0158,Elijah,Chokshi,1968-01-26,M,Anantapuram,Madhya Pradesh,038380,yashvishah@example.com,04505191948,Gold,2025-09-07
C0159,Noah,Chaudhary,2017-08-09,F,Gwalior,Haryana,724127,vaishnavioak@example.com,5766065922,Silver,2025-11-25
C0160,Yashasvi,Sood,1981-04-23,F,Bhagalpur,Manipur,255709,xdugar@example.com,08982997975,Bronze,2024-05-05
C0161,Faras,Behl,1997-11-02,M,Coimbatore,Madhya Pradesh,538586,naruladamini@example.org,5326763643,Gold,2021-10-06
C0162,Tejas,Thaman,1946-12-11,M,Loni,Rajasthan,660732,bimala13@example.com,+912601613659,Gold,2024-04-10
C0163,Jagdish,Vyas,2022-04-16,F,Jalna,West Bengal,326451,iryapingle@example.com,+912571641640,Bronze,2022-12-19
C0164,Yamini,Uppal,1955-01-20,M,Karimnagar,Uttarakhand,056840,nnarang@example.org,02153798274,Gold,2025-07-31
C0165,Amaira,Muni,1936-03-30,F,Noida,Arunachal Pradesh,579939,harrison04@example.org,02949685338,Bronze,2026-04-05
C0166,Warinder,Khare,1978-02-20,M,Allahabad,Tripura,157598,hzachariah@example.net,4971999424,Bronze,2024-01-25
C0167,Nitesh,Dhawan,2014-07-28,M,Bally,West Bengal,024252,kalaekansh@example.com,+911818075821,Silver,2023-08-03
C0168,Ronith,Vig,1918-09-04,F,Kollam,Himachal Pradesh,330550,loganoak@example.net,4154514004,Bronze,2025-09-25
C0169,Wakeeta,Pandya,2019-04-29,M,Udupi,Meghalaya,891466,saumya31@example.org,+913076039715,Silver,2021-05-26
C0170,Alexander,Hegde,2016-03-26,F,Surat,Tripura,290252,isaacbarad@example.com,00994343919,Bronze,2024-04-10
C0171,Nikita,Bhatt,2000-10-15,M,Durg,Madhya Pradesh,196601,noah42@example.org,4739418270,Silver,2025-10-08
C0172,Vrishti,Sha,2025-02-08,F,Ahmednagar,Tamil Nadu,253889,mkhurana@example.com,+910529001432,Gold,2024-03-30
C0173,Yachana,Mukherjee,1961-04-23,M,Raiganj,Arunachal Pradesh,972632,harshilbava@example.com,6215350643,Gold,2023-12-22
C0174,Ayush,Anand,1937-11-17,M,Tezpur,Punjab,504717,ramasathvik@example.net,06379462886,Silver,2022-05-17
C0175,Indrajit,Ghose,1938-06-04,M,Madurai,Tripura,515125,jrastogi@example.org,4758486646,Silver,2024-01-27
C0176,Anamika,Andra,1974-11-26,F,Amroha,Tamil Nadu,782223,calebreddy@example.net,+914601220355,Bronze,2022-05-04
C0177,Baghyawati,Hegde,1964-10-29,F,Kollam,Tamil Nadu,416651,gmittal@example.net,+916863857832,Bronze,2022-01-05
C0178,Madhav,Kala,1932-11-17,M,Varanasi,Manipur,934502,ghosechaitaly@example.net,+919144733326,Gold,2022-12-09
C0179,Arin,Bassi,1989-10-02,F,Sasaram,Goa,013239,aarini83@example.com,+910121270328,Silver,2025-06-26
C0180,Quincy,Korpal,1935-05-13,M,Amritsar,Uttarakhand,681044,tvarma@example.org,09293281470,Silver,2024-10-02
C0181,Damini,Chadha,1961-06-22,M,Kakinada,Kerala,834575,girindrawagle@example.org,+912349338152,Bronze,2022-02-23
C0182,Alexander,Kanda,2023-12-11,F,Etawah,Mizoram,337544,odikavasa@example.net,+915479652770,Silver,2024-01-03
C0183,Banjeet,Dugar,1916-04-03,F,Hospet,Mizoram,998945,tejas26@example.org,+914906603184,Silver,2023-11-30
C0184,Joshua,Dora,1953-05-14,F,Giridih,Tamil Nadu,004293,brijeshcontractor@example.org,+916340315038,Silver,2024-10-15
C0185,Finn,Subramaniam,1920-01-18,F,Sangli-Miraj & Kupwad,Jharkhand,810228,warinder84@example.com,9280621572,Bronze,2024-08-29
C0186,Hiral,Mall,2022-06-17,F,Darbhanga,Kerala,784810,tanay57@example.org,+919391719757,Silver,2024-02-29
C0187,Ekansh,Kuruvilla,2009-08-30,M,Motihari,Goa,398472,krishnaramesh@example.org,04907326792,Silver,2022-03-13
C0188,Triya,Chawla,1952-01-18,F,Gangtok,Uttarakhand,180562,edhitharout@example.org,+911603292002,Gold,2022-04-27
C0189,Ryan,Parikh,1922-05-13,M,Nangloi Jat,Andhra Pradesh,460173,agade@example.net,5723930845,Bronze,2025-08-17
C0190,Saumya,Nadkarni,1996-08-05,M,Panvel,Andhra Pradesh,727110,isaiahkhurana@example.org,04866122421,Silver,2024-11-30
C0191,Farhan,Sahota,2015-07-04,F,Nellore,Uttar Pradesh,700730,varsha82@example.org,05201083574,Silver,2023-10-06
C0192,Victor,Divan,1938-04-06,M,Bhiwani,Punjab,886475,chawlapallavi@example.org,6060461671,Bronze,2022-08-16
C0193,Ekaraj,Sur,1994-12-08,M,Berhampur,Goa,627435,chameli77@example.com,03245728768,Silver,2021-11-20
C0194,Yasti,Mann,2006-10-29,M,Rajkot,Karnataka,903132,neelimaseth@example.com,05466263284,Silver,2021-08-29
C0195,Ria,Bajwa,1934-12-13,M,Dewas,Arunachal Pradesh,330143,vorareyansh@example.net,+914919850288,Bronze,2026-03-13
C0196,Ubika,Dhaliwal,1977-11-11,M,Khora ,Himachal Pradesh,477611,samuel93@example.com,+910099279888,Bronze,2025-10-08
C0197,Yug,Natt,2007-06-25,F,Kalyan-Dombivli,Arunachal Pradesh,384734,naiduthomas@example.net,+914205216751,Silver,2023-07-23
C0198,Nisha,Dhaliwal,1912-03-13,F,Jorhat,Assam,204092,sanghvitara@example.com,07713892171,Gold,2022-12-14
C0199,Charan,Oommen,2014-06-19,M,Ujjain,Maharashtra,121227,faraj54@example.com,08714304535,Bronze,2022-06-10
C0200,Hemal,Minhas,1977-11-08,F,Hyderabad,Sikkim,477660,anshkant@example.org,02961743083,Silver,2024-05-19
C0201,Urishilla,Manda,1926-11-19,M,Ulhasnagar,Sikkim,052832,ranveer47@example.org,4410065654,Silver,2022-04-29
C0202,Anamika,Shetty,2023-09-10,M,Dibrugarh,Gujarat,981976,zaidbiswas@example.net,08174791320,Silver,2024-10-13
C0203,Owen,Dugal,1960-09-26,F,Jaunpur,Uttarakhand,657349,onveerkalita@example.org,+915456717618,Silver,2026-03-29
C0204,Sachi,Reddy,1959-12-31,M,Phusro,Punjab,699643,warinderbava@example.org,+912170041170,Bronze,2022-09-25
C0205,Harrison,Sridhar,2015-09-07,F,Unnao,Odisha,072497,wrajan@example.org,+914355769001,Silver,2022-04-23
C0206,Nihal,Sarna,1966-11-04,F,Morbi,Telangana,139525,qpatel@example.org,00558541631,Gold,2025-01-11
C0207,Shivansh,Ratta,2004-11-21,M,Bangalore,Telangana,175202,balveermalhotra@example.org,05656653173,Silver,2025-11-24
C0208,Anusha,Chana,1965-10-27,M,Kolhapur,Sikkim,092178,yoshitashenoy@example.com,+914776245829,Bronze,2024-07-02
C0209,Kabir,Krish,2003-01-24,M,Ongole,Chhattisgarh,135891,sneha40@example.com,08059471893,Gold,2022-06-25
C0210,Abhimanyu,Sen,1978-08-26,M,Raebareli,Uttarakhand,398179,ybora@example.com,5782969567,Bronze,2024-11-27
